address,balance,label,total_tx,mean,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0x0544d752a81f3b136896e5e3f38871719093d76a,0.01000262293555666,southern_asia,26,8.097105159568688,0,0,0,1,1,3,5,2,0,0,1,4,0,3,0,0,0,3,0,0,0,2,0,1
0x47d42376001bc0a63c46fe5ec5d4abeff87f809a,2.996317906588013,southern_asia,88,17.740453768816607,0,2,5,10,15,5,4,16,3,4,7,7,5,1,3,0,0,1,0,0,0,0,0,0
0xfeb8deaac724f98ccb51b20c0a2384e7082be8d9,36.09765385592132,europe,141,5.922536523140265,0,12,7,6,7,8,7,5,2,4,7,6,15,13,10,2,2,7,5,0,7,4,2,3
0x9db38b505c43794cd65e5ac1deccddaac4ead549,425.18804799644596,africa,216,35.170856912458305,4,3,2,2,4,5,19,18,11,8,8,7,8,15,12,9,13,12,9,12,16,5,4,10
0x0b58f667376a3e923e37b880ed8cc6be2234dbed,19.025383857054912,southern_asia,41,7.636810114551305,1,0,0,0,2,3,2,2,6,8,3,3,2,2,5,0,2,0,0,0,0,0,0,0
0x4132791d238c089cbd5eb120109f6c776c3892aa,4.653730303102229,southeast_asia,48,14.793218951574124,1,1,2,2,4,4,2,4,2,1,1,4,5,1,3,5,0,0,1,0,1,1,3,0
0xba279553a66253f55a0f4dd30ce7f5bacf832f8b,11.03961022892329,southeast_asia,130,37.438504889606946,2,1,15,5,3,7,20,15,2,8,5,6,3,4,7,7,8,2,1,0,0,0,5,4
0x9b713e21fbeb3ba9692638f5fa04b3c121bfb2bd,10.363907071405738,southern_asia,27,18.874843063178883,0,1,0,1,2,3,2,2,0,3,4,2,2,0,2,0,0,3,0,0,0,0,0,0
0xe693a2e2c559369beb5ee77f27e2b12ad10309a4,4.317224561368069,southeast_asia,27,29.390545470531855,3,1,1,2,0,0,0,4,1,0,2,1,2,0,3,0,0,0,2,2,0,2,1,0
0x86f7c14a3563f0b2fe8fd55efd39755053a1e414,9708.040328193962,europe,304,80.87798378650557,0,1,0,0,0,10,26,34,27,33,27,16,7,16,14,12,8,8,14,13,8,15,6,9
0x0421455364debc21846a2e75e438b6251b201b96,174.77155552494867,south_america,354,104.53402635915754,23,21,10,11,5,4,1,0,0,10,11,25,18,6,24,33,11,10,40,7,17,15,40,12
